ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
2761,Technology,AI & Robotics,"Cloud Computing, Blockchain, Web Development","Cybersecurity, API Development, SQL, iOS Development",Cybersecurity Analyst,15000 - 45000 SAR,"None, Certified Ethical Hacker (CEH)","TensorFlow, IBM Watson, Docker","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
2762,Technology,AI & Robotics,"Blockchain, Data Science, Machine Learning","Kubernetes, Cybersecurity, C++, Python",Cloud Architect,15000 - 45000 SAR,"Google Cloud Architect, AWS Certified Solutions Architect","Docker, Jupyter Notebook, IBM Watson","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2763,Design,Product Design,"Branding, Motion Graphics, 3D Design","Product Prototyping, Figma, Wireframing, Blender",UI/UX Designer,16875 - 45000 SAR,"Google UX Design Certificate, None","Sketch, Adobe XD, Figma","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2764,Technology,Cyber Security,"Data Science, Web Development, App Development","Python, Data Analysis, Kubernetes, Swift",Cloud Architect,26250 - 67500 SAR,"None, Google Cloud Architect","TensorFlow, IBM Watson, Apache Spark","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2765,Design,Graphic Design,"Motion Graphics, Illustration, UI/UX","Typography, Cinema 4D, Figma, Brand Identity",UI/UX Designer,16875 - 45000 SAR,"Adobe Certified Expert, Google UX Design Certificate","Maya, Blender, Affinity Designer","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2766,Technology,Data Science,"Cloud Computing, App Development, Web Development","AWS, iOS Development, Cloud Computing, C++",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","Apache Spark, Arduino, Tableau","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2767,Technology,Software Engineering,"App Development, Blockchain, Web Development","Machine Learning, Android Development, React, iOS Development",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, None","MATLAB, Jupyter Notebook, Google Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2768,Business,Human Resources,"Sales, Business Strategy, Consulting","Project Management, SEO, Salesforce, Google Analytics",Strategy Consultant,20625 - 56250 SAR,"Certified Strategy Consultant, Six Sigma Black Belt","Hootsuite, Oracle ERP, Google Analytics","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
2769,Technology,Software Engineering,"Blockchain, Cloud Computing, Data Science","Cybersecurity, API Development, Java, Cloud Computing",Cloud Architect,15000 - 45000 SAR,"Google Cloud Architect, None","TensorFlow, Docker, Tableau","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2770,Technology,Data Science,"Machine Learning, Cloud Computing, Data Science","TensorFlow, AWS, iOS Development, Cybersecurity",Software Engineer,26250 - 67500 SAR,"None, Microsoft Azure Developer","MATLAB, Google Cloud, Docker","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
2771,Business,Human Resources,"Consulting, Entrepreneurship, Sales","Negotiation, Presentation Skills, Google Analytics, Salesforce",Data Analyst,16875 - 45000 SAR,"None, Google Data Analytics Certificate","Microsoft Power BI, Monday.com, Slack","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
2772,Design,UI/UX,"3D Design, Illustration, UI/UX","Motion Graphics, Cinema 4D, After Effects, Figma",UX Engineer,18750 - 52500 SAR,None,"Sketch, Affinity Designer, CorelDRAW","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
2773,Business,Finance,"Entrepreneurship, Consulting, Business Strategy","Financial Analysis, Advertising, Supply Chain Management, Negotiation",HR Specialist,22500 - 60000 SAR,"None, PMP","SAP, Oracle ERP, Slack","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
2774,Design,Animation,"Motion Graphics, Illustration, Branding","Wireframing, 3D Animation, Illustrator, Product Prototyping",Graphic Designer,13125 - 37500 SAR,"3D Modeling Certification, Adobe Certified Expert","Canva, Procreate, ZBrush","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
2775,Design,Product Design,"Illustration, UI/UX, Branding","Motion Graphics, 3D Animation, Graphic Design, Illustrator",3D Artist,16875 - 45000 SAR,"3D Animation Certificate, Blender Certification","Procreate, Affinity Designer, Cinema 4D","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
2776,Business,Finance,"Consulting, Digital Marketing, Sales","Advertising, Supply Chain Management, Google Analytics, Financial Analysis",Fintech Business Analyst,22500 - 60000 SAR,"None, Fintech & Blockchain Certification","Microsoft Power BI, Asana, Salesforce",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
2777,Technology,AI & Robotics,"Machine Learning, App Development, Data Science","Python, Data Analysis, Machine Learning, Swift",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, AWS Certified","Oracle Cloud, Jupyter Notebook, Apache Spark","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
2778,Design,Animation,"Motion Graphics, Branding, Illustration","Graphic Design, UI/UX Research, Illustrator, Wireframing",UX Engineer,16875 - 45000 SAR,None,"Blender, Krita, Canva","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
2779,Business,Human Resources,"Digital Marketing, Consulting, Entrepreneurship","Google Analytics, Social Media Marketing, Negotiation, Presentation Skills",Fintech Business Analyst,20625 - 56250 SAR,"None, Fintech & Blockchain Certification","Slack, Asana, Monday.com",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
2780,Technology,Data Science,"Cloud Computing, Data Science, Blockchain","AWS, Swift, Java, SQL",Cybersecurity Analyst,26250 - 67500 SAR,"None, Certified Ethical Hacker (CEH)","Apache Spark, IBM Watson, Arduino","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
2781,Technology,AI & Robotics,"Blockchain, Data Science, App Development","Java, Android Development, API Development, Kubernetes",Software Engineer,18750 - 56250 SAR,"Microsoft Azure Developer, None","TensorFlow, Oracle Cloud, Arduino","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
2782,Design,Product Design,"3D Design, UI/UX, Illustration","Cinema 4D, Blender, 3D Animation, Illustrator",3D Artist,13125 - 37500 SAR,"None, 3D Animation Certificate","Canva, Maya, Affinity Designer","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
2783,Design,Product Design,"UI/UX, Branding, Motion Graphics","Product Prototyping, Figma, Graphic Design, Brand Identity",Graphic Designer,18750 - 52500 SAR,"3D Modeling Certification, None","Canva, Maya, Krita","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
2784,Technology,Computer Science,"Data Science, App Development, Blockchain","Machine Learning, Swift, Kubernetes, Data Analysis",Data Scientist,15000 - 45000 SAR,"None, AWS Data Analytics","Docker, IBM Watson, GitHub","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2785,Technology,Data Science,"Data Science, Machine Learning, App Development","TensorFlow, API Development, C++, Cybersecurity",Cybersecurity Analyst,15000 - 45000 SAR,"CompTIA Security+, None","TensorFlow, Microsoft Azure, Arduino","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
2786,Business,Finance,"Digital Marketing, Entrepreneurship, Consulting","Negotiation, Project Management, SEO, Excel",Strategy Consultant,22500 - 60000 SAR,"Certified Strategy Consultant, Six Sigma Black Belt","Monday.com, Trello, Slack","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
2787,Technology,Software Engineering,"Blockchain, Data Science, App Development","AWS, Swift, Machine Learning, Java",Data Scientist,18750 - 56250 SAR,"Google Data Analytics Certificate, None","IBM Watson, Google Cloud, Power BI","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2788,Business,Human Resources,"Business Strategy, Consulting, Entrepreneurship","Social Media Marketing, E-commerce, Market Research, Advertising",Financial Analyst,22500 - 60000 SAR,"None, Certified Financial Planner (CFP)","Microsoft Power BI, Oracle ERP, Hootsuite","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
2789,Technology,Cyber Security,"App Development, Cloud Computing, Web Development","React, SQL, Android Development, API Development",Cloud Architect,15000 - 45000 SAR,"Google Cloud Architect, None","IBM Watson, Arduino, TensorFlow","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2790,Design,Animation,"3D Design, Motion Graphics, UI/UX","UI/UX Research, Sketch, Product Prototyping, Figma",Product Designer,13125 - 37500 SAR,"None, Certified Design Thinking Professional","Procreate, Sketch, Affinity Designer",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
2791,Business,Marketing,"Consulting, Entrepreneurship, Digital Marketing","Financial Analysis, Salesforce, Excel, SEO",Fintech Business Analyst,22500 - 60000 SAR,"None, Fintech & Blockchain Certification","SAP, HubSpot, Monday.com",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
2792,Design,Product Design,"UI/UX, 3D Design, Motion Graphics","Wireframing, Product Prototyping, Sketch, Brand Identity",Graphic Designer,13125 - 37500 SAR,"3D Modeling Certification, None","Sketch, Procreate, Figma","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
2793,Design,UI/UX,"UI/UX, 3D Design, Illustration","Typography, Adobe Photoshop, Sketch, After Effects",UI/UX Designer,18750 - 52500 SAR,"Adobe Certified Expert, Google UX Design Certificate","Figma, Cinema 4D, Procreate","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2794,Design,Animation,"3D Design, UI/UX, Motion Graphics","Brand Identity, Adobe Photoshop, Typography, Sketch",Graphic Designer,18750 - 52500 SAR,"3D Modeling Certification, Adobe Certified Expert","Blender, Sketch, Krita","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
2795,Design,Product Design,"Branding, 3D Design, UI/UX","Wireframing, Adobe Photoshop, Motion Graphics, Product Prototyping",UX Engineer,13125 - 37500 SAR,None,"CorelDRAW, Canva, Sketch","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
2796,Business,Human Resources,"Consulting, Entrepreneurship, Sales","Project Management, Social Media Marketing, Negotiation, Google Analytics",Sales Manager,22500 - 60000 SAR,"Salesforce Certification, None","Oracle ERP, Salesforce, Hootsuite","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2797,Business,Finance,"Sales, Digital Marketing, Business Strategy","Social Media Marketing, Project Management, Negotiation, E-commerce",Strategy Consultant,22500 - 60000 SAR,"Six Sigma Black Belt, Certified Strategy Consultant","Slack, Monday.com, Oracle ERP","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
2798,Business,Human Resources,"Entrepreneurship, Business Strategy, Consulting","Google Analytics, Negotiation, Salesforce, Supply Chain Management",HR Specialist,22500 - 60000 SAR,"PMP, None","Google Analytics, Trello, Monday.com","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
2799,Technology,Data Science,"Web Development, App Development, Data Science","TensorFlow, Data Analysis, Cloud Computing, Swift",Cloud Architect,18750 - 56250 SAR,"None, AWS Certified Solutions Architect","TensorFlow, Oracle Cloud, Power BI","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2800,Technology,Data Science,"Blockchain, Web Development, Machine Learning","TensorFlow, Blockchain, Cybersecurity, AWS",Frontend Developer,18750 - 56250 SAR,"Google Mobile Web Specialist, None","Arduino, TensorFlow, Docker","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2801,Technology,Cyber Security,"Blockchain, App Development, Cloud Computing","API Development, Swift, SQL, Data Analysis",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, Google ML Certification","MATLAB, GitHub, Jupyter Notebook","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
2802,Technology,Computer Science,"Data Science, Web Development, Machine Learning","Swift, Cybersecurity, Kubernetes, AWS",Data Scientist,26250 - 67500 SAR,"None, AWS Data Analytics","Docker, TensorFlow, Arduino","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2803,Business,Marketing,"Digital Marketing, Business Strategy, Consulting","Presentation Skills, Negotiation, Social Media Marketing, SEO",HR Specialist,20625 - 56250 SAR,"None, PMP","Trello, Google Analytics, Asana","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
2804,Design,Graphic Design,"3D Design, Branding, Motion Graphics","Wireframing, Cinema 4D, Illustrator, Motion Graphics",Product Designer,13125 - 37500 SAR,"None, Certified Design Thinking Professional","Adobe XD, ZBrush, Krita",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
2805,Technology,Computer Science,"Cloud Computing, Web Development, App Development","Java, Cybersecurity, SQL, Blockchain",Data Scientist,26250 - 67500 SAR,"None, AWS Data Analytics","Jupyter Notebook, Apache Spark, Oracle Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2806,Design,UI/UX,"Branding, Motion Graphics, 3D Design","Graphic Design, 3D Animation, UI/UX Research, Typography",3D Artist,18750 - 52500 SAR,"Blender Certification, 3D Animation Certificate","Blender, Affinity Designer, Krita","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
2807,Business,Finance,"Sales, Digital Marketing, Consulting","E-commerce, Excel, Supply Chain Management, Negotiation",HR Specialist,22500 - 60000 SAR,"PMP, HR Professional Certificate","Oracle ERP, Monday.com, Microsoft Power BI","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
2808,Design,UI/UX,"Illustration, 3D Design, Branding","Motion Graphics, 3D Animation, Typography, Product Prototyping",Product Designer,16875 - 45000 SAR,"Certified Design Thinking Professional, None","Canva, Krita, CorelDRAW",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
2809,Technology,Computer Science,"Blockchain, Web Development, App Development","iOS Development, Data Analysis, React, C++",AI Engineer,15000 - 45000 SAR,"Google ML Certification, TensorFlow Developer Certificate","TensorFlow, Power BI, Jupyter Notebook","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
2810,Design,UI/UX,"3D Design, Illustration, Branding","Graphic Design, 3D Animation, Motion Graphics, Figma",UI/UX Designer,13125 - 37500 SAR,"Adobe Certified Expert, Google UX Design Certificate","Figma, Canva, Adobe XD","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2811,Technology,Data Science,"Blockchain, Machine Learning, Web Development","Cloud Computing, Kubernetes, API Development, React",Data Scientist,26250 - 67500 SAR,"Google Data Analytics Certificate, AWS Data Analytics","TensorFlow, Apache Spark, Google Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2812,Design,Product Design,"Illustration, Motion Graphics, Branding","Brand Identity, Sketch, Motion Graphics, Wireframing",UI/UX Designer,16875 - 45000 SAR,"Google UX Design Certificate, Adobe Certified Expert","Canva, Adobe XD, Cinema 4D","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
2813,Design,Graphic Design,"UI/UX, Illustration, 3D Design","Illustrator, Wireframing, Brand Identity, Product Prototyping",Motion Graphics Designer,16875 - 45000 SAR,"Motion Graphics Pro, None","Affinity Designer, Figma, Maya","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2814,Business,Marketing,"Consulting, Entrepreneurship, Business Strategy","Presentation Skills, Excel, SEO, Negotiation",Sales Manager,22500 - 60000 SAR,"None, Salesforce Certification","Google Analytics, Oracle ERP, Salesforce","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2815,Technology,Computer Science,"Cloud Computing, Blockchain, Data Science","Python, Data Analysis, C++, SQL",Frontend Developer,26250 - 67500 SAR,"None, Certified JavaScript Developer","Docker, MATLAB, Power BI","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2816,Design,Product Design,"UI/UX, Branding, Illustration","Typography, Illustrator, Graphic Design, Adobe Photoshop",Motion Graphics Designer,13125 - 37500 SAR,"None, Adobe After Effects Certification","Krita, Sketch, Affinity Designer","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2817,Business,Finance,"Business Strategy, Consulting, Digital Marketing","SEO, Excel, Financial Analysis, Social Media Marketing",Sales Manager,22500 - 60000 SAR,"None, Salesforce Certification","Microsoft Power BI, Asana, Hootsuite","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2818,Technology,Cyber Security,"Web Development, Cloud Computing, App Development","Data Analysis, SQL, Kubernetes, iOS Development",Frontend Developer,18750 - 56250 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Tableau, Power BI, Docker","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2819,Design,UI/UX,"Illustration, Motion Graphics, 3D Design","Typography, Graphic Design, Motion Graphics, 3D Animation",Motion Graphics Designer,13125 - 37500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Blender, Sketch, Adobe XD","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
2820,Technology,Software Engineering,"Machine Learning, Data Science, App Development","Data Analysis, Kubernetes, iOS Development, C++",Frontend Developer,15000 - 45000 SAR,"None, Google Mobile Web Specialist","Tableau, GitHub, Oracle Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2821,Business,Finance,"Consulting, Sales, Entrepreneurship","Presentation Skills, SEO, Market Research, E-commerce",Sales Manager,16875 - 45000 SAR,"None, Salesforce Certification","Asana, Hootsuite, Microsoft Power BI","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
2822,Technology,AI & Robotics,"App Development, Data Science, Machine Learning","Cybersecurity, C++, API Development, Kubernetes",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, None","IBM Watson, Microsoft Azure, Power BI","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
2823,Technology,AI & Robotics,"Cloud Computing, App Development, Data Science","Cloud Computing, Machine Learning, API Development, iOS Development",Software Engineer,15000 - 45000 SAR,"None, Microsoft Azure Developer","Docker, IBM Watson, TensorFlow","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
2824,Technology,Cyber Security,"Web Development, App Development, Cloud Computing","Java, Kubernetes, Machine Learning, AWS",Data Scientist,15000 - 45000 SAR,"None, Google Data Analytics Certificate","Arduino, MATLAB, Google Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
2825,Technology,Software Engineering,"Machine Learning, Blockchain, Data Science","C++, React, iOS Development, TensorFlow",Cloud Architect,18750 - 56250 SAR,"None, Google Cloud Architect","MATLAB, Tableau, GitHub","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2826,Technology,AI & Robotics,"Cloud Computing, Web Development, Machine Learning","React, SQL, Cloud Computing, Java",Cloud Architect,15000 - 45000 SAR,"None, Google Cloud Architect","MATLAB, IBM Watson, Oracle Cloud","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
2827,Business,Finance,"Consulting, Digital Marketing, Business Strategy","Financial Analysis, Negotiation, Market Research, Supply Chain Management",Marketing Manager,16875 - 45000 SAR,"Certified Digital Marketing Professional, Google Ads Certification","Slack, Hootsuite, Monday.com","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
2828,Technology,Computer Science,"App Development, Cloud Computing, Blockchain","SQL, Machine Learning, Android Development, iOS Development",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","GitHub, Power BI, Google Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
2829,Business,Finance,"Entrepreneurship, Business Strategy, Digital Marketing","E-commerce, Social Media Marketing, SEO, Project Management",Data Analyst,20625 - 56250 SAR,"None, Python for Data Analysis","Salesforce, Microsoft Power BI, Google Analytics","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
2830,Business,Project Management,"Entrepreneurship, Sales, Consulting","Advertising, Financial Analysis, Excel, Salesforce",Data Analyst,16875 - 45000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","SAP, Monday.com, Microsoft Power BI","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
2831,Technology,Software Engineering,"Data Science, Web Development, Blockchain","Cloud Computing, Swift, Python, Cybersecurity",Cybersecurity Analyst,18750 - 56250 SAR,"None, Certified Ethical Hacker (CEH)","Docker, Microsoft Azure, Jupyter Notebook","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
2832,Design,UI/UX,"Motion Graphics, 3D Design, Illustration","3D Animation, Brand Identity, Illustrator, Graphic Design",Product Designer,13125 - 37500 SAR,"Certified Design Thinking Professional, None","Krita, ZBrush, CorelDRAW",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
2833,Technology,Computer Science,"Web Development, App Development, Machine Learning","Machine Learning, React, Cloud Computing, Android Development",Data Scientist,15000 - 45000 SAR,"Google Data Analytics Certificate, AWS Data Analytics","MATLAB, GitHub, Google Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
